decision_id,rec_id,date,symbol,checklist_version,checklist_id,result,evidence,notes
DEC-20260707-CBRS.US-001,REC-20260707-CBRS.US-001,2026-07-07,CBRS.US,master-investment-checklist,WB-POL-01,pass,"US common stock listed on Nasdaq as CBRS; within allowed US equity universe.",""
DEC-20260707-CBRS.US-001,REC-20260707-CBRS.US-001,2026-07-07,CBRS.US,master-investment-checklist,WB-COMP-01,pass,"Business can be explained as AI inference hardware, systems, and cloud capacity built around wafer-scale chips.",""
DEC-20260707-CBRS.US-001,REC-20260707-CBRS.US-001,2026-07-07,CBRS.US,master-investment-checklist,WB-BUS-01,unknown,"Technology may be differentiated, but durable moat versus Nvidia, AMD, hyperscaler ASICs, and custom silicon is not yet proven through multiple public cycles.",""
DEC-20260707-CBRS.US-001,REC-20260707-CBRS.US-001,2026-07-07,CBRS.US,master-investment-checklist,WB-FIN-01,fail,"Revenue growth is strong, but GAAP/core profitability is not durable and FY2026 core operating margin guidance remains deeply negative.",""
DEC-20260708-002594.SZ-001,REC-20260708-002594.SZ-001,2026-07-08,002594.SZ,master-investment-checklist,WB-POL-01,pass,"A股上市公司，属于允许研究范围。",""
DEC-20260708-002594.SZ-001,REC-20260708-002594.SZ-001,2026-07-08,002594.SZ,master-investment-checklist,WB-COMP-01,pass,"业务可解释为新能源汽车、动力电池、储能、电子部件和海外制造销售网络。",""
DEC-20260708-002594.SZ-001,REC-20260708-002594.SZ-001,2026-07-08,002594.SZ,master-investment-checklist,WB-BUS-01,pass,"规模、垂直整合、研发投入、品牌矩阵和出海渠道构成优势，但价格战会削弱变现能力。",""
DEC-20260708-002594.SZ-001,REC-20260708-002594.SZ-001,2026-07-08,002594.SZ,master-investment-checklist,WB-FIN-01,fail,"2026Q1收入、归母净利润、扣非净利润和经营现金流均同比明显下滑。",""
DEC-20260708-002594.SZ-001,REC-20260708-002594.SZ-001,2026-07-08,002594.SZ,master-investment-checklist,WB-VAL-01,unknown,"当前PE/PB低于过去高热阶段，但盈利处于下修周期，不能只看静态倍数判断便宜。",""
DEC-20260708-002594.SZ-001,REC-20260708-002594.SZ-001,2026-07-08,002594.SZ,master-investment-checklist,WB-RISK-01,pass,"失败路径明确：价格战、销量恢复不带利润、现金流承压、海外壁垒、技术投入回报不足。",""
DEC-20260708-002594.SZ-001,REC-20260708-002594.SZ-001,2026-07-08,002594.SZ,master-investment-checklist,WB-BIAS-01,pass,"明确避免因为龙头品牌和低位反弹而追高，要求财报或趋势确认。",""
DEC-20260708-002594.SZ-001,REC-20260708-002594.SZ-001,2026-07-08,002594.SZ,master-investment-checklist,WB-REV-04,pass,"已写入recommendations.csv，设置进入批量复盘。",""
DEC-20260707-CBRS.US-001,REC-20260707-CBRS.US-001,2026-07-07,CBRS.US,master-investment-checklist,WB-VAL-01,fail,"Market cap around $39.89 billion implies roughly 46x FY2026 guided core revenue; margin of safety is not clear.",""
DEC-20260707-CBRS.US-001,REC-20260707-CBRS.US-001,2026-07-07,CBRS.US,master-investment-checklist,WB-RISK-01,fail,"Thesis can fail through OpenAI execution, customer concentration, lease/capacity commitments, margin compression, dilution/warrants, and post-IPO unlock supply.",""
DEC-20260707-CBRS.US-001,REC-20260707-CBRS.US-001,2026-07-07,CBRS.US,master-investment-checklist,WB-BIAS-01,fail,"The OpenAI headline is FOMO-prone; price weakness alone is not a sufficient buy signal.",""
DEC-20260707-CBRS.US-001,REC-20260707-CBRS.US-001,2026-07-07,CBRS.US,master-investment-checklist,WB-REV-04,pass,"Decision and recommendation indexes updated for batch review.",""
DEC-20260707-002050.SZ-001,REC-20260707-002050.SZ-001,2026-07-07,002050.SZ,master-investment-checklist,WB-POL-01,pass,"A-share common stock; within allowed universe.",""
DEC-20260707-002050.SZ-001,REC-20260707-002050.SZ-001,2026-07-07,002050.SZ,master-investment-checklist,WB-COMP-01,pass,"Business is explainable: refrigeration controls, automotive thermal management, and adjacent actuator/control components.",""
DEC-20260707-002050.SZ-001,REC-20260707-002050.SZ-001,2026-07-07,002050.SZ,master-investment-checklist,WB-BUS-01,pass,"Core thermal-management/control component position appears durable, supported by product breadth and long operating history.",""
DEC-20260707-002050.SZ-001,REC-20260707-002050.SZ-001,2026-07-07,002050.SZ,master-investment-checklist,WB-FIN-01,pass,"2025 profit grew strongly and 2026Q1 operating cash flow improved, though Q1 revenue growth slowed.",""
DEC-20260707-002050.SZ-001,REC-20260707-002050.SZ-001,2026-07-07,002050.SZ,master-investment-checklist,WB-VAL-01,fail,"Market cap around RMB 1915亿元 and TTM PE around 47x leave limited margin of safety.",""
DEC-20260707-002050.SZ-001,REC-20260707-002050.SZ-001,2026-07-07,002050.SZ,master-investment-checklist,WB-RISK-01,fail,"Main risks are robotics narrative overpricing, valuation compression, customer/order uncertainty, and weak market tape.",""
DEC-20260707-002050.SZ-001,REC-20260707-002050.SZ-001,2026-07-07,002050.SZ,master-investment-checklist,WB-BIAS-01,fail,"Current interest is heavily tied to robotics/liquid-cooling themes; avoid buying because the story feels exciting.",""
DEC-20260707-002050.SZ-001,REC-20260707-002050.SZ-001,2026-07-07,002050.SZ,master-investment-checklist,WB-REV-04,pass,"Decision and recommendation indexes updated for batch review.",""
DEC-20260707-601689.SH-001,REC-20260707-601689.SH-001,2026-07-07,601689.SH,master-investment-checklist,WB-POL-01,pass,"A-share common stock; within allowed universe.",""
DEC-20260707-601689.SH-001,REC-20260707-601689.SH-001,2026-07-07,601689.SH,master-investment-checklist,WB-COMP-01,pass,"Business is explainable: platform auto parts, chassis/interior/thermal management/intelligent driving/robot actuator products.",""
DEC-20260707-601689.SH-001,REC-20260707-601689.SH-001,2026-07-07,601689.SH,master-investment-checklist,WB-BUS-01,pass,"Has broad product platform and customer base, but new-business moat is still being tested.",""
DEC-20260707-601689.SH-001,REC-20260707-601689.SH-001,2026-07-07,601689.SH,master-investment-checklist,WB-FIN-01,fail,"2025 and 2026Q1 show revenue growth but attributable net profit decline.",""
DEC-20260707-601689.SH-001,REC-20260707-601689.SH-001,2026-07-07,601689.SH,master-investment-checklist,WB-VAL-01,fail,"TTM PE around 38x is not cheap when profit is declining.",""
DEC-20260707-601689.SH-001,REC-20260707-601689.SH-001,2026-07-07,601689.SH,master-investment-checklist,WB-RISK-01,fail,"Margin pressure, overseas capacity ramp cost, robot-order uncertainty, and theme-driven volatility are central risks.",""
DEC-20260707-601689.SH-001,REC-20260707-601689.SH-001,2026-07-07,601689.SH,master-investment-checklist,WB-BIAS-01,fail,"Human-robotics theme can create FOMO; the current thesis needs profit confirmation.",""
DEC-20260707-601689.SH-001,REC-20260707-601689.SH-001,2026-07-07,601689.SH,master-investment-checklist,WB-REV-04,pass,"Decision and recommendation indexes updated for batch review.",""
DEC-20260708-002050.SZ-001,REC-20260708-002050.SZ-001,2026-07-08,002050.SZ,master-investment-checklist,WB-POL-01,pass,"A-share common stock; within allowed universe.",""
DEC-20260708-002050.SZ-001,REC-20260708-002050.SZ-001,2026-07-08,002050.SZ,master-investment-checklist,WB-COMP-01,pass,"Business is explainable: refrigeration controls, automotive thermal management, robot actuators, and liquid-cooling adjacency.",""
DEC-20260708-002050.SZ-001,REC-20260708-002050.SZ-001,2026-07-08,002050.SZ,master-investment-checklist,WB-BUS-01,pass,"Core business quality remains better than most robotics theme peers.",""
DEC-20260708-002050.SZ-001,REC-20260708-002050.SZ-001,2026-07-08,002050.SZ,master-investment-checklist,WB-FIN-01,pass,"2026Q1 net profit was RMB 928 million and no new operating deterioration was found today.",""
DEC-20260708-002050.SZ-001,REC-20260708-002050.SZ-001,2026-07-08,002050.SZ,master-investment-checklist,WB-VAL-01,fail,"PE around 44x is lower than yesterday but still not a deep margin of safety.",""
DEC-20260708-002050.SZ-001,REC-20260708-002050.SZ-001,2026-07-08,002050.SZ,master-investment-checklist,WB-RISK-01,fail,"Intraday volume selloff, crowded robotics theme, and unclear order conversion remain central risks.",""
DEC-20260708-002050.SZ-001,REC-20260708-002050.SZ-001,2026-07-08,002050.SZ,master-investment-checklist,WB-BIAS-01,fail,"The urge to add after a large drop may anchor on yesterday's price rather than improved evidence.",""
DEC-20260708-002050.SZ-001,REC-20260708-002050.SZ-001,2026-07-08,002050.SZ,master-investment-checklist,WB-REV-04,pass,"Intraday review and refreshed recommendation indexes were written.",""
DEC-20260708-601689.SH-001,REC-20260708-601689.SH-001,2026-07-08,601689.SH,master-investment-checklist,WB-POL-01,pass,"A-share common stock; within allowed universe.",""
DEC-20260708-601689.SH-001,REC-20260708-601689.SH-001,2026-07-08,601689.SH,master-investment-checklist,WB-COMP-01,pass,"Business is explainable: platform auto parts, robot actuators, and thermal management.",""
DEC-20260708-601689.SH-001,REC-20260708-601689.SH-001,2026-07-08,601689.SH,master-investment-checklist,WB-BUS-01,unknown,"Platform capability exists, but robotics/liquid-cooling moat and order scale remain unproven.",""
DEC-20260708-601689.SH-001,REC-20260708-601689.SH-001,2026-07-08,601689.SH,master-investment-checklist,WB-FIN-01,fail,"2026Q1 net profit was RMB 552 million, below RMB 565 million in 2025Q1.",""
DEC-20260708-601689.SH-001,REC-20260708-601689.SH-001,2026-07-08,601689.SH,master-investment-checklist,WB-VAL-01,fail,"PE around 35x is not enough margin of safety without profit recovery.",""
DEC-20260708-601689.SH-001,REC-20260708-601689.SH-001,2026-07-08,601689.SH,master-investment-checklist,WB-RISK-01,fail,"Margin pressure, overseas ramp cost, opaque orders, and theme unwind remain central risks.",""
DEC-20260708-601689.SH-001,REC-20260708-601689.SH-001,2026-07-08,601689.SH,master-investment-checklist,WB-BIAS-01,fail,"Reaching yesterday's watch price can trigger anchoring bias, but the pullback quality is poor.",""
DEC-20260708-601689.SH-001,REC-20260708-601689.SH-001,2026-07-08,601689.SH,master-investment-checklist,WB-REV-04,pass,"Intraday review and refreshed recommendation indexes were written.",""
DEC-20260708-688017.SH-001,REC-20260708-688017.SH-001,2026-07-08,688017.SH,master-investment-checklist,WB-POL-01,pass,"A-share STAR Market common stock; within allowed universe.",""
DEC-20260708-688017.SH-001,REC-20260708-688017.SH-001,2026-07-08,688017.SH,master-investment-checklist,WB-COMP-01,pass,"Business is explainable as harmonic reducers, mechatronic products, and intelligent automation equipment.",""
DEC-20260708-688017.SH-001,REC-20260708-688017.SH-001,2026-07-08,688017.SH,master-investment-checklist,WB-BUS-01,pass,"Leader position in harmonic reducers, though humanoid robot incremental moat still needs more proof.",""
DEC-20260708-688017.SH-001,REC-20260708-688017.SH-001,2026-07-08,688017.SH,master-investment-checklist,WB-FIN-01,pass,"2026Q1 revenue rose 42.96% and attributable net profit rose 61.17%, but operating cash flow fell 68.55%.",""
DEC-20260708-688017.SH-001,REC-20260708-688017.SH-001,2026-07-08,688017.SH,master-investment-checklist,WB-VAL-01,fail,"Around 478x PE and 23x PB leave little margin of safety versus disclosed earnings.",""
DEC-20260708-688017.SH-001,REC-20260708-688017.SH-001,2026-07-08,688017.SH,master-investment-checklist,WB-RISK-01,fail,"Failure paths include order disappointment, valuation compression, and crowded robotics-theme unwind.",""
DEC-20260708-688017.SH-001,REC-20260708-688017.SH-001,2026-07-08,688017.SH,master-investment-checklist,WB-BIAS-01,fail,"Large drop from a high price can create anchoring bias; it is not yet a stable entry signal.",""
DEC-20260708-688017.SH-001,REC-20260708-688017.SH-001,2026-07-08,688017.SH,master-investment-checklist,WB-REV-04,pass,"Decision and recommendation indexes updated for batch review.",""
DEC-20260708-688322.SH-001,REC-20260708-688322.SH-001,2026-07-08,688322.SH,master-investment-checklist,WB-POL-01,pass,"A-share STAR Market common stock; within allowed universe.",""
DEC-20260708-688322.SH-001,REC-20260708-688322.SH-001,2026-07-08,688322.SH,master-investment-checklist,WB-COMP-01,pass,"Business is explainable as 3D vision sensing products, consumer application devices, and industrial application devices.",""
DEC-20260708-688322.SH-001,REC-20260708-688322.SH-001,2026-07-08,688322.SH,master-investment-checklist,WB-BUS-01,unknown,"Robotics vision positioning is attractive, but durable moat and order stickiness need more financial-report proof.",""
DEC-20260708-688322.SH-001,REC-20260708-688322.SH-001,2026-07-08,688322.SH,master-investment-checklist,WB-FIN-01,unknown,"Profit improved, but 2026Q1 revenue grew only 6.19% and operating cash flow volatility needs tracking.",""
DEC-20260708-688322.SH-001,REC-20260708-688322.SH-001,2026-07-08,688322.SH,master-investment-checklist,WB-VAL-01,fail,"Market cap around RMB 51.7B and PB around 16.96 imply demanding growth expectations.",""
DEC-20260708-688322.SH-001,REC-20260708-688322.SH-001,2026-07-08,688322.SH,master-investment-checklist,WB-RISK-01,fail,"Failure paths include revenue miss, physical-AI narrative cooling, private-placement overhang, and valuation compression.",""
DEC-20260708-688322.SH-001,REC-20260708-688322.SH-001,2026-07-08,688322.SH,master-investment-checklist,WB-BIAS-01,fail,"The 'robot eyes' story can be over-extrapolated into a buy signal while revenue growth and valuation pressure remain unresolved.",""
DEC-20260708-688322.SH-001,REC-20260708-688322.SH-001,2026-07-08,688322.SH,master-investment-checklist,WB-REV-04,pass,"Decision and recommendation indexes updated for batch review.",""
DEC-20260708-603986.SH-001,REC-20260708-603986.SH-001,2026-07-08,603986.SH,master-investment-checklist,WB-POL-01,pass,"A股上市公司，属于允许研究范围。",""
DEC-20260708-603986.SH-001,REC-20260708-603986.SH-001,2026-07-08,603986.SH,master-investment-checklist,WB-COMP-01,pass,"业务可解释为Flash、利基型DRAM、MCU、模拟芯片和传感器等多元芯片设计。",""
DEC-20260708-603986.SH-001,REC-20260708-603986.SH-001,2026-07-08,603986.SH,master-investment-checklist,WB-BUS-01,pass,"公司在存储和MCU具备产品矩阵与国内领先地位，但盈利高度受半导体周期影响。",""
DEC-20260708-603986.SH-001,REC-20260708-603986.SH-001,2026-07-08,603986.SH,master-investment-checklist,WB-FIN-01,pass,"2026Q1收入、归母净利润、扣非净利润和经营现金流均高增。",""
DEC-20260708-603986.SH-001,REC-20260708-603986.SH-001,2026-07-08,603986.SH,master-investment-checklist,WB-VAL-01,fail,"2026-07-08 TTM PE约147倍，PB约17倍，年化Q1后估值仍不低。",""
DEC-20260708-603986.SH-001,REC-20260708-603986.SH-001,2026-07-08,603986.SH,master-investment-checklist,WB-RISK-01,fail,"主要失败路径是存储周期反转、Q2业绩回落、高估值压缩和高位筹码松动。",""
DEC-20260708-603986.SH-001,REC-20260708-603986.SH-001,2026-07-08,603986.SH,master-investment-checklist,WB-BIAS-01,fail,"股价一年大涨后快速回撤，容易把锚定高点后的折价误判为安全边际。",""
DEC-20260708-603986.SH-001,REC-20260708-603986.SH-001,2026-07-08,603986.SH,master-investment-checklist,WB-REV-04,pass,"已写入recommendations.csv，设置进入批量复盘。",""
